3.393557;3.581642;[256];1281;1;10;190;497;0.000100;0.079564;0.163754
2.548038;2.700869;[256];1281;1;10;190;497;0.000100;0.040586;0.179163
4.251950;4.261158;[256];1281;1;10;190;497;0.000100;0.042976;0.187595
2.263201;2.273340;[256];1281;1;10;190;497;0.000100;0.042187;0.207424
0.210234;0.174179;[256, 128, 64, 32];44289;100;10;190;497;0.000100;6.711523;0.282337
0.205117;0.165870;[256, 128, 64, 32];44289;100;10;190;497;0.000100;6.012571;0.270998
0.583214;0.370619;[32, 16];673;100;10;100;497;0.000100;1.439177;0.168223
0.226855;0.010347;[32, 16];673;500;10;100;497;0.000100;4.491661;0.167560
0.240610;0.004196;[100, 50];5501;500;10;100;497;0.000100;5.108197;0.170125
0.229982;0.007896;[100];501;500;10;100;497;0.000100;3.541995;0.158969
0.242161;0.001641;[100, 50, 25];6751;500;10;100;497;0.000100;5.390578;0.172972
0.246906;0.001150;[200, 100];21001;500;10;100;497;0.000100;10.036846;0.239994
0.249329;0.000073;[200, 100, 50];26001;500;10;100;497;0.000100;11.775020;0.182577
0.253517;0.000949;[256, 128, 64];42241;500;10;100;497;0.000100;15.522454;0.228908
0.232514;0.006136;[64, 32, 16, 8];3009;500;10;100;497;0.000100;4.977496;0.180478
0.233398;0.006694;[64, 32, 16, 8];3009;500;10;100;497;0.000100;4.983103;0.179646
